CD_DISPOSITIVO,CD_NOME_TAG,VALUE,DT_MODBUS,ALARM,NM_EQUIPAMENTO,DT_MODBUS_CONV
ERPAR5103,ERP_ERPAR5103_BATTERY_REMAINING_CAPACITY,64,1658028930,False,CDC,2022-07-17T03:35:28.000+0000
CRM481392,CRM_CRM481392_BATTERY_REMAINING_CAPACITY,71,1658029180,True,CDC,2022-07-17T03:39:44.000+0000
CRM4000502306,CRM_CRM4000502306_BATTERY_REMAINING_CAPACITY,71,1658029440,False,CDC,2022-07-17T03:44:00.000+0000
CRM4000191807,CRM_CRM4000191807_BATTERY_REMAINING_CAPACITY,67,1658029570,False,CDC,2022-07-17T03:46:08.000+0000
ERPEF55501,ERP_ERPEF55501_BATTERY_REMAINING_CAPACITY,66,1658029570,False,CDC,2022-07-17T03:46:08.000+0000
CRM4000633807,CRM_CRM4000633807_BATTERY_REMAINING_CAPACITY,69,1658029570,False,CDC,2022-07-17T03:46:08.000+0000
CRM536432,CRM_CRM536432_BATTERY_REMAINING_CAPACITY,70,1658029570,False,CDC,2022-07-17T03:46:08.000+0000
CRM490226,CRM_CRM490226_BATTERY_REMAINING_CAPACITY,69,1658029700,True,CDC,2022-07-17T03:48:16.000+0000
CRM834448,CRM_CRM834448_BATTERY_REMAINING_CAPACITY,66,1658029700,False,CDC,2022-07-17T03:48:16.000+0000
CRM404671,CRM_CRM404671_BATTERY_REMAINING_CAPACITY,70,1658029820,False,CDC,2022-07-17T03:50:24.000+0000
ERPRC5201,ERP_ERPRC5201_BATTERY_REMAINING_CAPACITY,66,1658029820,False,CDC,2022-07-17T03:50:24.000+0000
CRM4000298770,CRM_CRM4000298770_BATTERY_REMAINING_CAPACITY,65,1658029950,False,CDC,2022-07-17T03:52:32.000+0000
CRM465816,CRM_CRM465816_BATTERY_REMAINING_CAPACITY,69,1658030080,False,CDC,2022-07-17T03:54:40.000+0000
ERPSG5105,ERP_ERPSG5105_BATTERY_REMAINING_CAPACITY,68,1658030210,False,CDC,2022-07-17T03:56:48.000+0000
CRM763593,CRM_CRM763593_BATTERY_REMAINING_CAPACITY,21,1658030590,True,CDC,2022-07-17T04:03:12.000+0000
CRM459758,CRM_CRM459758_BATTERY_REMAINING_CAPACITY,15,1658030980,False,CDC,2022-07-17T04:09:36.000+0000
CRM4000771786,CRM_CRM4000771786_BATTERY_REMAINING_CAPACITY,39,1658031100,False,CDC,2022-07-17T04:11:44.000+0000
CRM4000191807,CRM_CRM4000191807_BATTERY_REMAINING_CAPACITY,67,1658031360,False,CDC,2022-07-17T04:16:00.000+0000
ERPCPV55502,ERP_ERPCPV55502_BATTERY_REMAINING_CAPACITY,67,1658031490,False,CDC,2022-07-17T04:18:08.000+0000
CRM490226,CRM_CRM490226_BATTERY_REMAINING_CAPACITY,69,1658031490,True,CDC,2022-07-17T04:18:08.000+0000
CRM500846,CRM_CRM500846_BATTERY_REMAINING_CAPACITY,70,1658031620,False,CDC,2022-07-17T04:20:16.000+0000
CRM4000813490,CRM_CRM4000813490_BATTERY_REMAINING_CAPACITY,66,1658031740,False,CDC,2022-07-17T04:22:24.000+0000
